"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0G720","2020-04-30 00:00:00","50.000","176.000","0.600","21.800","0.940","1010.300","","0.000","-99.000","-99.000","-99.000","28.100","","20.000",""
"C0UA40","2020-04-30 00:00:00","1121.000","179.000","1.400","14.500","0.970","894.000","","0.500","-99.000","-99.000","-99.000","19.200","","12.800",""
"C0V400","2020-04-30 00:00:00","56.000","61.000","0.700","23.300","0.920","1009.500","","0.000","-99.000","-99.000","-99.000","29.800","","21.900",""
"C0X130","2020-04-30 00:00:00","27.000","0.000","0.000","23.400","0.870","1012.800","","0.000","-99.000","-99.000","-99.000","31.000","","21.900",""
"C0A520","2020-04-30 00:00:00","48.000","0.000","0.000","21.100","0.850","1011.300","","0.000","-99.000","-99.000","-99.000","30.000","","20.600",""
"C0V260","2020-04-30 00:00:00","126.000","0.000","0.100","22.300","0.930","1002.200","","0.000","-99.000","-99.000","-99.000","34.500","","19.900",""
"C0S970","2020-04-30 00:00:00","19.000","307.000","1.200","23.100","0.740","1015.700","","0.000","-99.000","-99.000","-99.000","25.700","","21.900",""
"C0U940","2020-04-30 00:00:00","25.000","233.000","1.700","19.000","0.980","1016.400","","0.000","-99.000","-99.000","-99.000","27.300","","17.800",""
"C0A860","2020-04-30 00:00:00","362.000","206.000","2.600","19.400","1.000","975.100","","0.000","-99.000","-99.000","-99.000","27.700","","17.300",""
"C0R710","2020-04-30 00:00:00","117.000","47.000","8.100","23.800","0.830","1003.600","","0.000","-99.000","-99.000","-99.000","26.600","","23.200",""
"C0I480","2020-04-30 00:00:00","2165.000","0.000","0.000","9.100","0.990","792.200","","0.000","-99.000","-99.000","-99.000","16.700","","7.600",""
"C0G910","2020-04-30 00:00:00","42.000","117.000","2.000","22.500","0.880","1010.600","","0.000","-99.000","-99.000","-99.000","27.700","","20.600",""
"C0X080","2020-04-30 00:00:00","2.000","68.000","0.600","20.200","0.960","1016.200","","0.000","-99.000","-99.000","-99.000","30.900","","19.000",""
"C0AH00","2020-04-30 00:00:00","38.000","284.000","0.900","22.500","0.740","1011.600","","0.000","-99.000","-99.000","-99.000","28.500","","20.400",""
"C0V700","2020-04-30 00:00:00","24.000","343.000","1.100","25.300","0.800","1012.900","","0.000","-99.000","-99.000","-99.000","29.000","","24.800",""
"C0AD00","2020-04-30 00:00:00","86.000","191.000","0.500","22.700","0.720","1006.500","","0.000","-99.000","-99.000","-99.000","29.200","","22.600",""
"C0O900","2020-04-30 00:00:00","9.000","0.000","0.000","21.900","0.990","1015.700","","0.000","-99.000","-99.000","-99.000","29.900","","20.300",""
"C0R570","2020-04-30 00:00:00","37.000","356.000","0.900","24.600","0.840","1011.100","","0.000","-99.000","-99.000","-99.000","30.600","","22.300",""
"C0AG90","2020-04-30 00:00:00","25.000","0.000","0.200","24.000","0.670","1014.000","","0.000","-99.000","-99.000","-99.000","30.400","","22.700",""
"C0V760","2020-04-30 00:00:00","30.000","58.000","0.900","24.500","0.880","1013.600","","0.000","-99.000","-99.000","-99.000","29.900","","23.000",""
"C0T9I0","2020-04-30 00:00:00","152.000","203.000","1.200","18.900","0.990","1002.400","","1.500","-99.000","-99.000","-99.000","25.300","","17.000",""
"C0O980","2020-04-30 00:00:00","18.000","0.000","0.000","21.700","0.980","1015.700","","0.000","-99.000","-99.000","-99.000","31.500","","19.600",""
"C0R270","2020-04-30 00:00:00","51.000","1.000","1.100","24.000","0.970","1009.100","","0.000","-99.000","-99.000","-99.000","31.900","","22.800",""
"C0T9H0","2020-04-30 00:00:00","725.000","217.000","1.400","16.800","0.990","938.100","","0.500","-99.000","-99.000","-99.000","24.300","","14.900",""
"C0A660","2020-04-30 00:00:00","97.000","164.000","1.800","22.300","0.770","1004.100","","0.000","-99.000","-99.000","-99.000","25.800","","20.900",""
"C0O840","2020-04-30 00:00:00","134.000","79.000","0.900","22.300","0.920","999.500","","0.000","-99.000","-99.000","-99.000","30.100","","19.600",""
"C0R530","2020-04-30 00:00:00","16.000","34.000","0.600","24.600","0.720","1014.300","","0.000","-99.000","-99.000","-99.000","27.900","","22.400",""
"C0G870","2020-04-30 00:00:00","12.000","0.000","0.000","20.700","0.790","1015.800","","0.000","-99.000","-99.000","-99.000","26.300","","18.800",""
"C0M820","2020-04-30 00:00:00","980.000","53.000","1.000","16.400","0.810","909.500","","0.000","-99.000","-99.000","-99.000","24.100","","14.600",""
"C0F9S0","2020-04-30 00:00:00","43.000","205.000","1.000","23.700","0.760","1011.600","","0.000","-99.000","-99.000","-99.000","29.600","","21.400",""
"C0R160","2020-04-30 00:00:00","45.000","42.000","0.800","22.700","0.990","1010.700","","5.500","-99.000","-99.000","-99.000","31.100","","21.000",""
